Itemset,Support
"('Latitude 177', 'Magnitude Type ML', 'Year 8')",4193
"('Latitude 177', 'Magnitude Type ML')",14103
"('Magnitude 46', 'Year 41')",4143
"('Magnitude 46', 'Magnitude Type ML', 'Year 41')",3741
"('Magnitude 46', 'Magnitude Type ML')",12634
"('Latitude 175', 'Year 33')",3586
"('Latitude 175', 'Region Name WESTERN TURKEY')",3788
"('Latitude 175', 'Magnitude Type ML', 'Region Name WESTERN TURKEY')",3748
"('Latitude 175', 'Longitude 54')",5427
"('Latitude 175', 'Longitude 54', 'Magnitude Type ML')",5381
"('Latitude 175', 'Magnitude Type ML')",12262
"('Longitude 28', 'Year 24')",3381
"('Longitude 28', 'Year 8')",3461
"('Longitude 28', 'Year 16')",3623
"('Longitude 28', 'Magnitude Type ML')",12846
"('Longitude 6', 'Magnitude 41')",3149
"('Latitude 148', 'Magnitude 41')",3184
"('Magnitude 41', 'Year 41')",4301
"('Magnitude 41', 'Magnitude Type ML', 'Year 41')",3633
"('Magnitude 41', 'Magnitude Type ML')",13417
"('Longitude 29', 'Year 16')",3147
"('Longitude 29', 'Year 8')",3625
"('Longitude 29', 'Magnitude Type ML')",11412
"('Magnitude Type  M', 'Year 33')",4953
"('Magnitude Type  M', 'Year 41')",8820
"('Longitude 6', 'Magnitude 43', 'Region Name ISLAND OF HAWAII, HAWAII')",3091
"('Magnitude 43', 'Year 24')",3159
"('Longitude 6', 'Magnitude 43')",3294
"('Latitude 148', 'Longitude 6', 'Magnitude 43')",3095
"('Latitude 148', 'Magnitude 43')",3374
"('Magnitude 43', 'Year 41')",4864
"('Magnitude 43', 'Magnitude Type ML', 'Year 41')",4295
"('Magnitude 43', 'Magnitude Type ML')",14916
"('Depth 8', 'Year 8')",3154
"('Depth 8', 'Year 41')",4504
"('Depth 8', 'Magnitude Type ML', 'Year 41')",3351
"('Depth 8', 'Magnitude Type ML')",13589
"('Longitude 53', 'Year 33')",3070
"('Longitude 53', 'Magnitude Type ML', 'Year 33')",3032
"('Latitude 178', 'Longitude 53')",3156
"('Latitude 178', 'Longitude 53', 'Magnitude Type ML')",3126
"('Longitude 53', 'Year 8')",3446
"('Longitude 53', 'Magnitude Type ML', 'Year 8')",3393
"('Longitude 53', 'Year 0')",3712
"('Longitude 53', 'Magnitude Type ML', 'Year 0')",3646
"('Longitude 53', 'Magnitude Type ML')",17875
"('Latitude 148', 'Magnitude 38')",3028
"('Magnitude 38', 'Year 8')",3032
"('Magnitude 38', 'Year 41')",4135
"('Magnitude 38', 'Magnitude Type ML', 'Year 41')",3319
"('Magnitude 38', 'Magnitude Type ML')",14273
"('Region Name WESTERN TURKEY', 'Year 33')",3181
"('Magnitude Type ML', 'Region Name WESTERN TURKEY', 'Year 33')",3149
"('Region Name WESTERN TURKEY', 'Year 24')",3218
"('Magnitude Type ML', 'Region Name WESTERN TURKEY', 'Year 24')",3203
"('Magnitude 31', 'Region Name WESTERN TURKEY')",3250
"('Magnitude 31', 'Magnitude Type ML', 'Region Name WESTERN TURKEY')",3243
"('Region Name WESTERN TURKEY', 'Year 8')",3546
"('Magnitude Type ML', 'Region Name WESTERN TURKEY', 'Year 8')",3495
"('Latitude 178', 'Region Name WESTERN TURKEY')",3656
"('Latitude 178', 'Magnitude Type ML', 'Region Name WESTERN TURKEY')",3631
"('Depth 12', 'Region Name WESTERN TURKEY')",3993
"('Depth 12', 'Magnitude Type ML', 'Region Name WESTERN TURKEY')",3974
"('Region Name WESTERN TURKEY', 'Year 0')",4639
"('Magnitude Type ML', 'Region Name WESTERN TURKEY', 'Year 0')",4620
"('Longitude 54', 'Region Name WESTERN TURKEY')",9212
"('Longitude 54', 'Magnitude Type ML', 'Region Name WESTERN TURKEY')",9162
"('Magnitude Type ML', 'Region Name WESTERN TURKEY')",18435
"('Longitude 6', 'Magnitude 36', 'Region Name ISLAND OF HAWAII, HAWAII')",3209
"('Latitude 148', 'Longitude 6', 'Magnitude 36', 'Region Name ISLAND OF HAWAII, HAWAII')",3078
"('Latitude 148', 'Magnitude 36')",3342
"('Latitude 148', 'Longitude 6', 'Magnitude 36')",3172
"('Longitude 6', 'Magnitude 36')",3391
"('Longitude 54', 'Magnitude 36')",3466
"('Longitude 54', 'Magnitude 36', 'Magnitude Type ML')",3465
"('Magnitude 36', 'Year 24')",3518
"('Magnitude 36', 'Year 33')",3564
"('Magnitude 36', 'Magnitude Type ML', 'Year 33')",3050
"('Magnitude 36', 'Year 41')",4683
"('Magnitude 36', 'Magnitude Type ML', 'Year 41')",3531
"('Magnitude 36', 'Magnitude Type ML')",15741
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3430
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3429
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3435
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3438
"('Depth 6', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3805
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3804
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3816
"('Depth 6', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3819
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28')",3437
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Year 41')",3429
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 28', 'Year 41')",3808
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 28')",3823
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 28')",3441
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Year 41')",3431
"('Depth 6', 'Longitude 6', 'Month 28', 'Year 41')",3810
"('Depth 6', 'Month 28', 'Year 41')",3893
"('Depth 6', 'Magnitude Type ML', 'Month 28', 'Year 41')",3484
"('Depth 6', 'Magnitude Type ML', 'Month 28')",4080
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33')",4186
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",4185
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",4179
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",4188
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",4180
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 33')",4189
