Bins,Label
435.75,Depth 592
436.5,Depth 593
437.25,Depth 594
438.0,Depth 595
438.75,Depth 596
439.5,Depth 597
440.25,Depth 598
441.0,Depth 599
441.75,Depth 600
442.5,Depth 601
443.25,Depth 602
444.0,Depth 603
444.75,Depth 604
445.5,Depth 605
446.25,Depth 606
447.0,Depth 607
447.75,Depth 608
448.5,Depth 609
449.25,Depth 610
450.0,Depth 611
450.75,Depth 612
451.5,Depth 613
452.25,Depth 614
453.0,Depth 615
453.75,Depth 616
454.5,Depth 617
455.25,Depth 618
456.0,Depth 619
456.75,Depth 620
457.5,Depth 621
458.25,Depth 622
459.0,Depth 623
459.75,Depth 624
460.5,Depth 625
461.25,Depth 626
462.0,Depth 627
462.75,Depth 628
463.5,Depth 629
464.25,Depth 630
465.0,Depth 631
465.75,Depth 632
466.5,Depth 633
467.25,Depth 634
468.0,Depth 635
468.75,Depth 636
469.5,Depth 637
470.25,Depth 638
471.0,Depth 639
471.75,Depth 640
472.5,Depth 641
473.25,Depth 642
474.0,Depth 643
474.75,Depth 644
475.5,Depth 645
476.25,Depth 646
477.0,Depth 647
477.75,Depth 648
478.5,Depth 649
479.25,Depth 650
480.0,Depth 651
480.75,Depth 652
481.5,Depth 653
482.25,Depth 654
483.0,Depth 655
483.75,Depth 656
484.5,Depth 657
485.25,Depth 658
486.0,Depth 659
486.75,Depth 660
487.5,Depth 661
488.25,Depth 662
489.0,Depth 663
489.75,Depth 664
490.5,Depth 665
491.25,Depth 666
492.0,Depth 667
492.75,Depth 668
493.5,Depth 669
494.25,Depth 670
495.0,Depth 671
495.75,Depth 672
496.5,Depth 673
497.25,Depth 674
498.0,Depth 675
498.75,Depth 676
499.5,Depth 677
500.25,Depth 678
501.0,Depth 679
501.75,Depth 680
502.5,Depth 681
503.25,Depth 682
504.0,Depth 683
504.75,Depth 684
505.5,Depth 685
506.25,Depth 686
507.0,Depth 687
507.75,Depth 688
508.5,Depth 689
509.25,Depth 690
510.0,Depth 691
510.75,Depth 692
511.5,Depth 693
512.25,Depth 694
513.0,Depth 695
513.75,Depth 696
514.5,Depth 697
515.25,Depth 698
516.0,Depth 699
516.75,Depth 700
517.5,Depth 701
518.25,Depth 702
519.0,Depth 703
519.75,Depth 704
520.5,Depth 705
521.25,Depth 706
522.0,Depth 707
522.75,Depth 708
523.5,Depth 709
524.25,Depth 710
525.0,Depth 711
525.75,Depth 712
526.5,Depth 713
527.25,Depth 714
528.0,Depth 715
528.75,Depth 716
529.5,Depth 717
530.25,Depth 718
531.0,Depth 719
531.75,Depth 720
532.5,Depth 721
533.25,Depth 722
534.0,Depth 723
534.75,Depth 724
535.5,Depth 725
536.25,Depth 726
537.0,Depth 727
537.75,Depth 728
538.5,Depth 729
539.25,Depth 730
540.0,Depth 731
540.75,Depth 732
541.5,Depth 733
542.25,Depth 734
543.0,Depth 735
543.75,Depth 736
544.5,Depth 737
545.25,Depth 738
546.0,Depth 739
546.75,Depth 740
547.5,Depth 741
548.25,Depth 742
549.0,Depth 743
549.75,Depth 744
550.5,Depth 745
551.25,Depth 746
552.0,Depth 747
552.75,Depth 748
553.5,Depth 749
554.25,Depth 750
555.0,Depth 751
555.75,Depth 752
556.5,Depth 753
557.25,Depth 754
558.0,Depth 755
558.75,Depth 756
559.5,Depth 757
560.25,Depth 758
561.0,Depth 759
561.75,Depth 760
562.5,Depth 761
563.25,Depth 762
564.0,Depth 763
564.75,Depth 764
565.5,Depth 765
566.25,Depth 766
567.0,Depth 767
567.75,Depth 768
568.5,Depth 769
569.25,Depth 770
570.0,Depth 771
570.75,Depth 772
571.5,Depth 773
572.25,Depth 774
573.0,Depth 775
573.75,Depth 776
574.5,Depth 777
575.25,Depth 778
576.0,Depth 779
576.75,Depth 780
577.5,Depth 781
578.25,Depth 782
579.0,Depth 783
579.75,Depth 784
580.5,Depth 785
581.25,Depth 786
582.0,Depth 787
582.75,Depth 788
583.5,Depth 789
584.25,Depth 790
585.0,Depth 791
585.75,Depth 792
586.5,Depth 793
587.25,Depth 794
588.0,Depth 795
588.75,Depth 796
589.5,Depth 797
590.25,Depth 798
591.0,Depth 799
591.75,Depth 800
592.5,Depth 801
593.25,Depth 802
594.0,Depth 803
594.75,Depth 804
595.5,Depth 805
596.25,Depth 806
597.0,Depth 807
597.75,Depth 808
598.5,Depth 809
599.25,Depth 810
600.0,Depth 811
600.75,Depth 812
601.5,Depth 813
602.25,Depth 814
603.0,Depth 815
603.75,Depth 816
604.5,Depth 817
605.25,Depth 818
606.0,Depth 819
606.75,Depth 820
607.5,Depth 821
608.25,Depth 822
609.0,Depth 823
609.75,Depth 824
610.5,Depth 825
611.25,Depth 826
612.0,Depth 827
612.75,Depth 828
613.5,Depth 829
614.25,Depth 830
615.0,Depth 831
615.75,Depth 832
616.5,Depth 833
617.25,Depth 834
618.0,Depth 835
618.75,Depth 836
619.5,Depth 837
620.25,Depth 838
621.0,Depth 839
621.75,Depth 840
622.5,Depth 841
623.25,Depth 842
624.0,Depth 843
624.75,Depth 844
625.5,Depth 845
626.25,Depth 846
627.0,Depth 847
627.75,Depth 848
628.5,Depth 849
629.25,Depth 850
630.0,Depth 851
630.75,Depth 852
631.5,Depth 853
632.25,Depth 854
633.0,Depth 855
633.75,Depth 856
634.5,Depth 857
635.25,Depth 858
636.0,Depth 859
636.75,Depth 860
637.5,Depth 861
638.25,Depth 862
639.0,Depth 863
639.75,Depth 864
640.5,Depth 865
641.25,Depth 866
642.0,Depth 867
642.75,Depth 868
643.5,Depth 869
644.25,Depth 870
645.0,Depth 871
645.75,Depth 872
646.5,Depth 873
647.25,Depth 874
648.0,Depth 875
648.75,Depth 876
649.5,Depth 877
650.25,Depth 878
651.0,Depth 879
651.75,Depth 880
652.5,Depth 881
653.25,Depth 882
654.0,Depth 883
654.75,Depth 884
655.5,Depth 885
656.25,Depth 886
657.0,Depth 887
657.75,Depth 888
658.5,Depth 889
659.25,Depth 890
660.0,Depth 891
660.75,Depth 892
661.5,Depth 893
662.25,Depth 894
663.0,Depth 895
663.75,Depth 896
664.5,Depth 897
665.25,Depth 898
666.0,Depth 899
666.75,Depth 900
667.5,Depth 901
668.25,Depth 902
669.0,Depth 903
669.75,Depth 904
670.5,Depth 905
671.25,Depth 906
672.0,Depth 907
672.75,Depth 908
673.5,Depth 909
674.25,Depth 910
675.0,Depth 911
675.75,Depth 912
676.5,Depth 913
677.25,Depth 914
678.0,Depth 915
678.75,Depth 916
679.5,Depth 917
680.25,Depth 918
681.0,Depth 919
681.75,Depth 920
682.5,Depth 921
683.25,Depth 922
684.0,Depth 923
684.75,Depth 924
685.5,Depth 925
686.25,Depth 926
687.0,Depth 927
687.75,Depth 928
688.5,Depth 929
689.25,Depth 930
690.0,Depth 931
690.75,Depth 932
691.5,Depth 933
692.25,Depth 934
693.0,Depth 935
693.75,Depth 936
694.5,Depth 937
695.25,Depth 938
696.0,Depth 939
696.75,Depth 940
697.5,Depth 941
698.25,Depth 942
699.0,Depth 943
699.75,Depth 944
700.5,Depth 945
701.25,Depth 946
702.0,Depth 947
702.75,Depth 948
703.5,Depth 949
704.25,Depth 950
705.0,Depth 951
705.75,Depth 952
706.5,Depth 953
707.25,Depth 954
708.0,Depth 955
708.75,Depth 956
709.5,Depth 957
710.25,Depth 958
711.0,Depth 959
711.75,Depth 960
712.5,Depth 961
713.25,Depth 962
714.0,Depth 963
714.75,Depth 964
715.5,Depth 965
716.25,Depth 966
717.0,Depth 967
717.75,Depth 968
718.5,Depth 969
719.25,Depth 970
720.0,Depth 971
720.75,Depth 972
721.5,Depth 973
